中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
泥偶小人,Golett,ゴビット,"['地面', '幽灵']","['昆虫', '水中3']","['引爆', '轻装']",无防守,"[59, 74, 50, 35, 50, 35]"
泥偶巨人,Golurk,ゴルーグ,"['地面', '幽灵']","['昆虫', '水中3']","['引爆', '轻装']",无防守,"[89, 124, 80, 55, 80, 55]"
食梦梦,Munna,ムンナ,['超能'],"['水中1', '水中2']","['棉絮', '再生力']",心灵感应,"[76, 25, 45, 67, 55, 24]"
梦梦蚀,Musharna,ムシャーナ,['超能'],"['水中1', '水中2']","['棉絮', '再生力']",心灵感应,"[116, 55, 85, 107, 95, 29]"
天然雀,Natu,ネイティ,"['超能', '飞行']","['陆上', '妖精']","['恶臭', '引爆']",魔法镜,"[40, 50, 45, 70, 45, 70]"
天然鸟,Xatu,ネイティオ,"['超能', '飞行']","['陆上', '人形']","['恶臭', '引爆']",魔法镜,"[65, 75, 70, 95, 70, 95]"
童偶熊,Stufful,ヌイコグマ,"['一般', '格斗']","['陆上', '矿物']","['悠游自如', '湿润之躯']",迷人之躯,"[70, 75, 50, 45, 50, 50]"
穿着熊,Bewear,キテルグマ,"['一般', '格斗']","['陆上', '矿物']","['悠游自如', '湿润之躯']",紧张感,"[120, 125, 80, 55, 60, 60]"
雪笠怪,Snover,ユキカブリ,"['草', '冰']","['水中1', '飞行']","['悠游自如', '毒手']",隔音,"[60, 62, 50, 62, 60, 40]"
暴雪王,Abomasnow,ユキノオー,"['草', '冰']","['陆上', '飞龙']","['毅力', '无防守']",隔音,"[90, 92, 75, 92, 85, 60]"
大钳蟹,Krabby,クラブ,['水'],"['陆上', '飞龙']","['毅力', '无防守']",强行,"[30, 105, 90, 25, 25, 50]"
巨钳蟹,Kingler,キングラー,['水'],"['怪兽', '飞龙']","['毅力', '无防守']",强行,"[55, 130, 115, 50, 50, 75]"
乌波,Wooper,ウパー,"['水', '地面']","['怪兽', '飞龙']","['悠游自如', '水幕']",纯朴,"[55, 45, 45, 25, 25, 15]"
沼王,Quagsire,ヌオー,"['水', '地面']","['飞行', '人形']","['悠游自如', '水幕']",纯朴,"[95, 85, 85, 65, 65, 35]"
龙虾小兵,Corphish,ヘイガニ,['水'],"['昆虫', '飞龙']","['活力', '狙击手']",适应力,"[43, 80, 65, 50, 35, 35]"
铁螯龙虾,Crawdaunt,シザリガー,"['水', '恶']","['昆虫', '飞龙']","['吸盘', '狙击手']",适应力,"[63, 120, 85, 90, 55, 55]"
土居忍士,Nincada,ツチニン,"['虫', '地面']","['昆虫', '飞龙']","['硬壳盔甲', '连续攻击']",逃跑,"[31, 45, 90, 30, 30, 40]"
铁面忍者,Ninjask,テッカニン,"['虫', '飞行']","['怪兽', '飞龙']","['硬壳盔甲', '连续攻击']",穿透,"[61, 90, 45, 50, 50, 160]"
脱壳忍者,Shedinja,ヌケニン,"['虫', '幽灵']","['怪兽', '飞龙']","['悠游自如', '迟钝']",-,"[1, 90, 45, 30, 30, 40]"
无畏小子,Tyrogue,バルキー,['格斗'],"['怪兽', '飞龙']","['神奇鳞片', '好胜']",干劲,"[35, 35, 35, 35, 35, 35]"
飞腿郎,Hitmonlee,サワムラー,['格斗'],"['矿物', '不定形']","['舍身', '适应力']",轻装,"[50, 120, 53, 35, 110, 87]"
快拳郎,Hitmonchan,エビワラー,['格斗'],"['矿物', '不定形']","['恶臭', '黏着']",精神力,"[50, 105, 79, 35, 110, 76]"
战舞郎,Hitmontop,カポエラー,['格斗'],"['矿物', '不定形']","['恶臭', '碎裂铠甲']",不屈之心,"[50, 95, 95, 35, 110, 70]"
顽皮熊猫,Pancham,ヤンチャム,['格斗'],"['矿物', '不定形']","['引火', '白色烟雾']",胆量,"[67, 82, 62, 46, 48, 43]"
流氓熊猫,Pangoro,ゴロンダ,"['格斗', '恶']","['矿物', '不定形']","['引火', '白色烟雾']",胆量,"[95, 124, 78, 69, 71, 58]"
齿轮儿,Klink,ギアル,['钢'],"['植物', '不定形']","['蒸汽机', '耐热']",恒净之躯,"[40, 55, 70, 45, 60, 30]"
齿轮组,Klang,ギギアル,['钢'],"['植物', '不定形']","['蒸汽机', '火焰之躯']",恒净之躯,"[60, 80, 95, 70, 85, 50]"
齿轮怪,Klinklang,ギギギアル,['钢'],"['陆上', '妖精']","['蒸汽机', '火焰之躯']",恒净之躯,"[60, 100, 115, 70, 85, 90]"
三蜜蜂,Combee,ミツハニー,"['虫', '飞行']","['妖精', '矿物']","['沙隐', '沙穴']",活力,"[30, 30, 42, 30, 42, 70]"
蜂女王,Vespiquen,ビークイン,"['虫', '飞行']","['怪兽', '飞龙']","['沙隐', '沙穴']",紧张感,"[70, 80, 102, 80, 102, 40]"
铜镜怪,Bronzor,ドーミラー,"['钢', '超能']","['怪兽', '飞龙']","['拨沙', '沙之力']",重金属,"[57, 24, 86, 24, 86, 23]"
青铜钟,Bronzong,ドータクン,"['钢', '超能']","['陆上', '妖精']","['拨沙', '沙之力']",重金属,"[67, 89, 116, 79, 116, 33]"
拉鲁拉丝,Ralts,ラルトス,"['超能', '妖精']","['水中1', '人形']","['结实', '碎裂铠甲']",心灵感应,"[28, 25, 25, 45, 35, 40]"
奇鲁莉安,Kirlia,キルリア,"['超能', '妖精']","['水中1', '人形']","['结实', '碎裂铠甲']",心灵感应,"[38, 35, 35, 65, 55, 50]"
沙奈朵,Gardevoir,サーナイト,"['超能', '妖精']","['水中1', '不定形']","['结实', '扬沙']",心灵感应,"[68, 65, 65, 125, 115, 80]"
艾路雷朵,Gallade,エルレイド,"['超能', '格斗']","['陆上', '水中2']","['毅力', '强行']",正义之心,"[68, 125, 65, 65, 115, 80]"
飘飘球,Drifloon,フワンテ,"['幽灵', '飞行']","['陆上', '水中2']","['毅力', '强行']",受热激升,"[90, 50, 34, 60, 44, 70]"
随风球,Drifblim,フワライド,"['幽灵', '飞行']","['怪兽', '矿物']","['毅力', '强行']",受热激升,"[150, 80, 44, 90, 54, 80]"
幼棉棉,Gossifleur,ヒメンカ,['草'],"['怪兽', '矿物']","['纯朴', '笨拙']",孢子,"[40, 40, 60, 40, 60, 10]"
白蓬蓬,Eldegoss,ワタシラガ,['草'],"['怪兽', '水中1']","['纯朴', '笨拙']",孢子,"[60, 50, 90, 80, 120, 60]"
樱花宝,Cherubi,チェリンボ,['草'],"['水中1', '陆上']","['察觉', '穿透']",-,"[45, 35, 45, 62, 53, 35]"
樱花儿,Cherrim,チェリム,['草'],"['矿物', '飞龙']","['察觉', '穿透']",-,"[70, 60, 70, 87, 78, 85]"
臭鼬噗,Stunky,スカンプー,"['毒', '恶']","['怪兽', '飞龙']","['坚硬脑袋', '结实']",锐利目光,"[63, 63, 47, 41, 41, 74]"
坦克臭鼬,Skuntank,スカタンク,"['毒', '恶']","['怪兽', '飞龙']","['坚硬脑袋', '结实']",锐利目光,"[103, 93, 67, 71, 61, 84]"
圆蝌蚪,Tympole,オタマロ,['水'],"['怪兽', '飞龙']","['捡拾', '硬爪']",储水,"[50, 50, 40, 50, 40, 64]"
蓝蟾蜍,Palpitoad,ガマガル,"['水', '地面']","['不定形', '飞龙']","['战斗盔甲', '硬爪']",储水,"[75, 65, 55, 65, 55, 69]"
蟾蜍王,Seismitoad,ガマゲロゲ,"['水', '地面']","['不定形', '飞龙']","['柔软', '技术高手']",储水,"[105, 95, 75, 85, 75, 74]"
夜巡灵,Duskull,ヨマワル,['幽灵'],"['不定形', '飞龙']","['采蜜', '鳞粉']",察觉,"[20, 40, 90, 30, 90, 25]"
