中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
天秤偶,Baltoy,ヤジロン,"['地面', '超能']",矿物,飘浮,-,"[40, 40, 55, 40, 70, 55]"
念力土偶,Claydol,ネンドール,"['地面', '超能']",矿物,飘浮,-,"[60, 70, 105, 70, 120, 75]"
触手百合,Lileep,リリーラ,"['岩石', '草']",水中3,吸盘,引水,"[66, 41, 77, 61, 87, 23]"
摇篮百合,Cradily,ユレイドル,"['岩石', '草']",水中3,吸盘,引水,"[86, 81, 97, 81, 107, 43]"
太古羽虫,Anorith,アノプス,"['岩石', '虫']",水中3,战斗盔甲,悠游自如,"[45, 95, 50, 40, 50, 75]"
太古盔甲,Armaldo,アーマルド,"['岩石', '虫']",水中3,战斗盔甲,悠游自如,"[75, 125, 100, 70, 80, 45]"
丑丑鱼,Feebas,ヒンバス,['水'],"['水中1', '飞龙']","['悠游自如', '迟钝']",适应力,"[20, 15, 20, 10, 55, 80]"
美纳斯,Milotic,ミロカロス,['水'],"['水中1', '飞龙']","['神奇鳞片', '好胜']",迷人之躯,"[95, 60, 79, 100, 125, 81]"
飘浮泡泡,Castform,ポワルン,['一般'],"['妖精', '不定形']",阴晴不定,-,"[70, 70, 70, 70, 70, 70]"
变隐龙,Kecleon,カクレオン,['一般'],陆上,变色,变幻自如,"[60, 90, 70, 60, 120, 40]"
怨影娃娃,Shuppet,カゲボウズ,['幽灵'],不定形,"['不眠', '察觉']",诅咒之躯,"[44, 75, 35, 63, 33, 45]"
诅咒娃娃,Banette,ジュペッタ,['幽灵'],不定形,"['不眠', '察觉']",诅咒之躯,"[64, 115, 65, 83, 63, 65]"
夜巡灵,Duskull,ヨマワル,['幽灵'],不定形,飘浮,察觉,"[20, 40, 90, 30, 90, 25]"
彷徨夜灵,Dusclops,サマヨール,['幽灵'],不定形,压迫感,察觉,"[40, 70, 130, 60, 130, 25]"
热带龙,Tropius,トロピウス,"['草', '飞行']","['怪兽', '植物']","['叶绿素', '太阳之力']",收获,"[99, 68, 83, 72, 87, 51]"
风铃铃,Chimecho,チリーン,['超能'],不定形,飘浮,-,"[75, 50, 80, 95, 90, 65]"
阿勃梭鲁,Absol,アブソル,['恶'],陆上,"['压迫感', '超幸运']",正义之心,"[65, 130, 60, 75, 60, 75]"
小果然,Wynaut,ソーナノ,['超能'],未发现,踩影,心灵感应,"[95, 23, 48, 23, 48, 23]"
雪童子,Snorunt,ユキワラシ,['冰'],"['妖精', '矿物']","['精神力', '冰冻之躯']",心情不定,"[50, 50, 50, 50, 50, 50]"
冰鬼护,Glalie,オニゴーリ,['冰'],"['妖精', '矿物']","['精神力', '冰冻之躯']",心情不定,"[80, 80, 80, 80, 80, 80]"
海豹球,Spheal,タマザラシ,"['冰', '水']","['水中1', '陆上']","['厚脂肪', '冰冻之躯']",迟钝,"[70, 40, 50, 55, 50, 25]"
海魔狮,Sealeo,トドグラー,"['冰', '水']","['水中1', '陆上']","['厚脂肪', '冰冻之躯']",迟钝,"[90, 60, 70, 75, 70, 45]"
帝牙海狮,Walrein,トドゼルガ,"['冰', '水']","['水中1', '陆上']","['厚脂肪', '冰冻之躯']",迟钝,"[110, 80, 90, 95, 90, 65]"
珍珠贝,Clamperl,パールル,['水'],水中1,硬壳盔甲,胆怯,"[35, 64, 85, 74, 55, 32]"
猎斑鱼,Huntail,ハンテール,['水'],水中1,悠游自如,水幕,"[55, 104, 105, 94, 75, 52]"
樱花鱼,Gorebyss,サクラビス,['水'],水中1,悠游自如,湿润之躯,"[55, 84, 105, 114, 75, 52]"
古空棘鱼,Relicanth,ジーランス,"['水', '岩石']","['水中1', '水中2']","['悠游自如', '坚硬脑袋']",结实,"[100, 90, 130, 45, 65, 55]"
爱心鱼,Luvdisc,ラブカス,['水'],水中2,悠游自如,湿润之躯,"[43, 30, 55, 40, 65, 97]"
宝贝龙,Bagon,タツベイ,['龙'],飞龙,坚硬脑袋,强行,"[45, 75, 60, 40, 30, 50]"
甲壳龙,Shelgon,コモルー,['龙'],飞龙,坚硬脑袋,防尘,"[65, 95, 100, 60, 50, 50]"
暴飞龙,Salamence,ボーマンダ,"['龙', '飞行']",飞龙,威吓,自信过度,"[95, 135, 80, 110, 80, 100]"
铁哑铃,Beldum,ダンバル,"['钢', '超能']",矿物,恒净之躯,轻金属,"[40, 55, 80, 35, 60, 30]"
金属怪,Metang,メタング,"['钢', '超能']",矿物,恒净之躯,轻金属,"[60, 75, 100, 55, 80, 50]"
巨金怪,Metagross,メタグロス,"['钢', '超能']",矿物,恒净之躯,轻金属,"[80, 135, 130, 95, 90, 70]"
雷吉洛克,Regirock,レジロック,['岩石'],未发现,恒净之躯,结实,"[80, 100, 200, 50, 100, 50]"
雷吉艾斯,Regice,レジアイス,['冰'],未发现,恒净之躯,冰冻之躯,"[80, 50, 100, 100, 200, 50]"
雷吉斯奇鲁,Registeel,レジスチル,['钢'],未发现,恒净之躯,轻金属,"[80, 75, 150, 75, 150, 50]"
拉帝亚斯,Latias,ラティアス,"['龙', '超能']",未发现,飘浮,-,"[80, 80, 90, 110, 130, 110]"
拉帝欧斯,Latios,ラティオス,"['龙', '超能']",未发现,飘浮,-,"[80, 90, 80, 130, 110, 110]"
盖欧卡,Kyogre,カイオーガ,['水'],未发现,降雨,-,"[100, 100, 90, 150, 140, 90]"
固拉多,Groudon,グラードン,['地面'],未发现,日照,-,"[100, 150, 140, 100, 90, 90]"
烈空坐,Rayquaza,レックウザ,"['龙', '飞行']",未发现,气闸,-,"[105, 150, 90, 150, 90, 95]"
基拉祈,Jirachi,ジラーチ,"['钢', '超能']",未发现,天恩,-,"[100, 100, 100, 100, 100, 100]"
代欧奇希斯,Deoxys,デオキシス,['超能'],未发现,压迫感,-,"[50, 150, 50, 150, 50, 150]"
