中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
胖可丁,Wigglytuff,プクリン,"['一般', '妖精']","['水中2', '飞龙']","['虫之预感', '复眼']",察觉,"[140, 70, 45, 85, 50, 45]"
索侦虫,Blipbug,サッチムシ,['虫'],"['水中2', '飞龙']","['虫之预感', '察觉']",心灵感应,"[25, 20, 20, 25, 45, 45]"
天罩虫,Dottler,レドームシ,"['虫', '超能']","['水中1', '水中2']","['熟成', '贪吃鬼']",心灵感应,"[50, 35, 80, 50, 90, 30]"
以欧路普,Orbeetle,イオルブ,"['虫', '超能']","['水中1', '水中2']","['熟成', '贪吃鬼']",心灵感应,"[60, 45, 110, 80, 120, 90]"
伪螳草,Fomantis,カリキリ,['草'],"['水中1', '飞行']","['熟成', '贪吃鬼']",唱反调,"[40, 55, 35, 50, 35, 35]"
兰螳花,Lurantis,ラランテス,['草'],"['水中1', '飞行']","['斗争心', '威吓']",唱反调,"[70, 105, 90, 80, 90, 45]"
啃果虫,Applin,カジッチュ,"['草', '龙']","['昆虫', '水中3']","['斗争心', '威吓']",防弹,"[40, 40, 80, 40, 40, 20]"
苹裹龙,Flapple,アップリュー,"['草', '龙']","['昆虫', '水中3']","['斗争心', '威吓']",活力,"[70, 110, 80, 95, 60, 70]"
丰蜜龙,Appletun,タルップル,"['草', '龙']","['怪兽', '水中1']","['不服输', '精神力']",厚脂肪,"[110, 85, 80, 100, 80, 30]"
小箭雀,Fletchling,ヤヤコマ,"['一般', '飞行']","['怪兽', '水中1']","['不服输', '精神力']",疾风之翼,"[45, 50, 43, 40, 38, 62]"
火箭雀,Fletchinder,ヒノヤコマ,"['火', '飞行']","['水中1', '陆上']","['同步', '精神力']",疾风之翼,"[62, 73, 55, 56, 52, 84]"
烈箭鹰,Talonflame,ファイアロー,"['火', '飞行']","['水中1', '陆上']","['同步', '精神力']",疾风之翼,"[78, 81, 71, 74, 69, 126]"
小猫怪,Shinx,コリンク,['电'],"['飞龙', '怪兽']","['同步', '精神力']",毅力,"[45, 65, 34, 40, 34, 45]"
勒克猫,Luxio,ルクシオ,['电'],"['怪兽', '植物']","['同步', '复制']",毅力,"[60, 85, 49, 60, 49, 60]"
伦琴猫,Luxray,レントラー,['电'],"['怪兽', '植物']","['同步', '复制']",毅力,"[80, 120, 79, 95, 79, 70]"
钥圈儿,Klefki,クレッフィ,"['钢', '妖精']","['怪兽', '植物']","['同步', '复制']",魔术师,"[57, 80, 91, 80, 87, 75]"
驹刀小兵,Pawniard,コマタナ,"['恶', '钢']","['怪兽', '水中1']","['怪力钳', '硬壳盔甲']",压迫感,"[45, 85, 70, 40, 40, 60]"
劈斩司令,Bisharp,キリキザン,"['恶', '钢']","['怪兽', '水中1']","['怪力钳', '硬壳盔甲']",压迫感,"[65, 125, 100, 60, 70, 70]"
凯西,Abra,ケーシィ,['超能'],"['怪兽', '水中1']","['恒净之躯', '污泥浆']",魔法防守,"[25, 20, 15, 105, 55, 90]"
勇基拉,Kadabra,ユンゲラー,['超能'],"['陆上', '妖精']","['恒净之躯', '污泥浆']",魔法防守,"[40, 35, 30, 120, 70, 105]"
胡地,Alakazam,フーディン,['超能'],"['陆上', '妖精']","['活力', '狙击手']",魔法防守,"[55, 50, 45, 135, 95, 120]"
拉鲁拉丝,Ralts,ラルトス,"['超能', '妖精']","['水中1', '水中3']","['吸盘', '狙击手']",心灵感应,"[28, 25, 25, 45, 35, 40]"
奇鲁莉安,Kirlia,キルリア,"['超能', '妖精']","['水中1', '水中3']","['悠游自如', '储水']",心灵感应,"[38, 35, 35, 65, 55, 50]"
沙奈朵,Gardevoir,サーナイト,"['超能', '妖精']","['水中1', '飞行']","['悠游自如', '储水']",心灵感应,"[68, 65, 65, 125, 115, 80]"
艾路雷朵,Gallade,エルレイド,"['超能', '格斗']","['陆上', '妖精']","['锐利目光', '湿润之躯']",正义之心,"[68, 125, 65, 65, 115, 80]"
大钳蟹,Krabby,クラブ,['水'],"['陆上', '妖精']","['锐利目光', '降雨']",强行,"[30, 105, 90, 25, 25, 50]"
巨钳蟹,Kingler,キングラー,['水'],"['水中1', '水中2']","['战斗盔甲', '狙击手']",强行,"[55, 130, 115, 50, 50, 75]"
玛瑙水母,Tentacool,メノクラゲ,"['水', '毒']","['水中1', '水中2']","['战斗盔甲', '狙击手']",雨盘,"[40, 40, 35, 50, 100, 70]"
毒刺水母,Tentacruel,ドククラゲ,"['水', '毒']","['昆虫', '矿物']","['天恩', '逃跑']",雨盘,"[80, 70, 65, 80, 120, 100]"
鲤鱼王,Magikarp,コイキング,['水'],"['昆虫', '矿物']","['舍身', '食草']",胆怯,"[20, 10, 55, 15, 20, 80]"
暴鲤龙,Gyarados,ギャラドス,"['水', '飞行']","['昆虫', '水中3']","['我行我素', '迟钝']",自信过度,"[95, 125, 79, 60, 100, 81]"
铁炮鱼,Remoraid,テッポウオ,['水'],"['昆虫', '水中3']","['我行我素', '迟钝']",心情不定,"[35, 65, 35, 65, 35, 65]"
章鱼桶,Octillery,オクタン,['水'],"['水中1', '不定形']","['强壮之颚', '硬壳盔甲']",心情不定,"[75, 105, 75, 105, 75, 45]"
小球飞鱼,Mantyke,タマンタ,"['水', '飞行']","['水中1', '人形']","['强壮之颚', '硬壳盔甲']",水幕,"[45, 20, 50, 60, 120, 50]"
巨翅飞鱼,Mantine,マンタイン,"['水', '飞行']","['水中1', '人形']","['湿气', '储水']",水幕,"[85, 40, 70, 80, 140, 70]"
长翅鸥,Wingull,キャモメ,"['水', '飞行']","['水中1', '妖精']","['湿气', '储水']",雨盘,"[40, 30, 30, 55, 30, 85]"
大嘴鸥,Pelipper,ペリッパー,"['水', '飞行']","['水中1', '妖精']","['食草', '湿润之躯']",雨盘,"[60, 50, 100, 95, 70, 65]"
钳尾蝎,Skorupi,スコルピ,"['毒', '虫']","['水中1', '陆上']","['食草', '湿润之躯']",锐利目光,"[40, 50, 90, 30, 55, 65]"
龙王蝎,Drapion,ドラピオン,"['毒', '恶']","['水中1', '陆上']","['食草', '湿润之躯']",锐利目光,"[70, 90, 110, 60, 75, 95]"
土龙弟弟,Dunsparce,ノコッチ,['一般'],"['怪兽', '陆上']","['粗糙皮肤', '强行']",胆怯,"[100, 70, 70, 65, 65, 45]"
爆炸头水牛,Bouffalant,バッフロン,['一般'],"['怪兽', '陆上']","['湿润之躯', '硬壳盔甲']",隔音,"[95, 110, 95, 40, 95, 55]"
大舌头,Lickitung,ベロリンガ,['一般'],"['怪兽', '陆上']","['湿润之躯', '黏着']",无关天气,"[90, 55, 75, 60, 75, 30]"
大舌舔,Lickilicky,ベロベルト,['一般'],"['陆上', '飞行']","['虫之预感', '蜕皮']",无关天气,"[110, 85, 95, 80, 95, 50]"
咬咬龟,Chewtle,カムカメ,['水'],"['陆上', '飞行']","['虫之预感', '硬壳盔甲']",悠游自如,"[50, 64, 50, 38, 38, 44]"
暴噬龟,Drednaw,カジリガメ,"['水', '岩石']","['怪兽', '飞龙']","['毒刺', '虫之预感']",悠游自如,"[90, 115, 90, 48, 68, 74]"
乌波,Wooper,ウパー,"['水', '地面']","['怪兽', '飞龙']","['毒刺', '虫之预感']",纯朴,"[55, 45, 45, 25, 25, 15]"
沼王,Quagsire,ヌオー,"['水', '地面']","['陆上', '飞龙']","['毒刺', '虫之预感']",纯朴,"[95, 85, 85, 65, 65, 35]"
黏黏宝,Goomy,ヌメラ,['龙'],"['陆上', '飞龙']","['花幕', '先行治疗']",黏滑,"[45, 50, 35, 55, 75, 40]"
黏美儿,Sliggoo,ヌメイル,['龙'],"['陆上', '人形']","['叶绿素', '叶子防守']",黏滑,"[68, 75, 53, 83, 113, 60]"
黏美龙,Goodra,ヌメルゴン,['龙'],"['陆上', '人形']","['叶绿素', '叶子防守']",黏滑,"[90, 100, 70, 110, 150, 80]"
赤面龙,Druddigon,クリムガン,['龙'],"['陆上', '飞龙']","['危险预知', '干燥皮肤']",破格,"[77, 120, 90, 60, 90, 48]"
小嘴蜗,Shelmet,チョボマキ,['虫'],"['陆上', '飞龙']","['危险预知', '干燥皮肤']",防尘,"[50, 40, 85, 40, 65, 25]"
敏捷虫,Accelgor,アギルダー,['虫'],"['怪兽', '陆上']","['精神力', '心灵感应']",轻装,"[80, 70, 40, 100, 60, 145]"
盖盖虫,Karrablast,カブルモ,['虫'],"['怪兽', '陆上']","['怪力钳', '硬壳盔甲']",无防守,"[50, 75, 45, 40, 45, 60]"
骑士蜗牛,Escavalier,シュバルゴ,"['虫', '钢']","['怪兽', '陆上']","['怪力钳', '硬壳盔甲']",防尘,"[70, 135, 105, 60, 105, 20]"
妙蛙种子,Bulbasaur,フシギダネ,"['草', '毒']","['陆上', '水中2']","['悠游自如', '水幕']",叶绿素,"[45, 49, 49, 65, 65, 45]"
妙蛙草,Ivysaur,フシギソウ,"['草', '毒']","['陆上', '水中2']","['悠游自如', '水幕']",叶绿素,"[60, 62, 63, 80, 80, 60]"
妙蛙花,Venusaur,フシギバナ,"['草', '毒']","['水中1', '飞龙']","['发光', '自然回复']",叶绿素,"[80, 82, 83, 100, 100, 80]"
杰尼龟,Squirtle,ゼニガメ,['水'],"['水中1', '飞龙']","['发光', '自然回复']",雨盘,"[44, 48, 65, 50, 64, 43]"
卡咪龟,Wartortle,カメール,['水'],"['水中1', '水中3']","['颊囊', '捡拾']",雨盘,"[59, 63, 80, 65, 80, 58]"
水箭龟,Blastoise,カメックス,['水'],"['水中1', '水中3']","['磁力', '结实']",雨盘,"[79, 83, 100, 85, 105, 78]"
百足蜈蚣,Venipede,フシデ,"['虫', '毒']","['水中1', '飞龙']","['磁力', '结实']",加速,"[30, 45, 59, 30, 39, 57]"
车轮球,Whirlipede,ホイーガ,"['虫', '毒']","['水中1', '飞龙']","['磁力', '结实']",加速,"[40, 55, 99, 40, 79, 47]"
蜈蚣王,Scolipede,ペンドラー,"['虫', '毒']","['水中1', '飞龙']","['唱反调', '吸盘']",加速,"[60, 100, 89, 55, 69, 112]"
