中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
小狮狮,Litleo,シシコ,"['火', '一般']",陆上,"['斗争心', '紧张感']",自信过度,"[62, 50, 58, 73, 54, 72]"
火炎狮,Pyroar,カエンジシ,"['火', '一般']",陆上,"['斗争心', '紧张感']",自信过度,"[86, 68, 72, 109, 66, 106]"
花蓓蓓,Flabébé,フラベベ,['妖精'],妖精,花幕,共生,"[44, 38, 39, 61, 79, 42]"
花叶蒂,Floette,フラエッテ,['妖精'],妖精,花幕,共生,"[54, 45, 47, 75, 98, 52]"
花洁夫人,Florges,フラージェス,['妖精'],妖精,花幕,共生,"[78, 65, 68, 112, 154, 75]"
坐骑小羊,Skiddo,メェークル,['草'],陆上,食草,草之毛皮,"[66, 65, 48, 62, 57, 52]"
坐骑山羊,Gogoat,ゴーゴート,['草'],陆上,食草,草之毛皮,"[123, 100, 62, 97, 81, 68]"
顽皮熊猫,Pancham,ヤンチャム,['格斗'],"['陆上', '人形']","['铁拳', '破格']",胆量,"[67, 82, 62, 46, 48, 43]"
流氓熊猫,Pangoro,ゴロンダ,"['格斗', '恶']","['陆上', '人形']","['铁拳', '破格']",胆量,"[95, 124, 78, 69, 71, 58]"
多丽米亚,Furfrou,トリミアン,['一般'],陆上,毛皮大衣,-,"[75, 80, 60, 65, 90, 102]"
妙喵,Espurr,ニャスパー,['超能'],陆上,"['锐利目光', '穿透']",我行我素,"[62, 48, 54, 63, 60, 68]"
超能妙喵,Meowstic,ニャオニクス,['超能'],陆上,"['锐利目光', '穿透']",恶作剧之心,"[74, 48, 76, 83, 81, 104]"
独剑鞘,Honedge,ヒトツキ,"['钢', '幽灵']",矿物,无防守,-,"[45, 80, 100, 35, 37, 28]"
双剑鞘,Doublade,ニダンギル,"['钢', '幽灵']",矿物,无防守,-,"[59, 110, 150, 45, 49, 35]"
坚盾剑怪,Aegislash,ギルガルド,"['钢', '幽灵']",矿物,战斗切换,-,"[60, 50, 140, 50, 140, 60]"
粉香香,Spritzee,シュシュプ,['妖精'],妖精,治愈之心,芳香幕,"[78, 52, 60, 63, 65, 23]"
芳香精,Aromatisse,フレフワン,['妖精'],妖精,治愈之心,芳香幕,"[101, 72, 72, 99, 89, 29]"
绵绵泡芙,Swirlix,ペロッパフ,['妖精'],妖精,甜幕,轻装,"[62, 48, 66, 59, 57, 49]"
胖甜妮,Slurpuff,ペロリーム,['妖精'],妖精,甜幕,轻装,"[82, 80, 86, 85, 75, 72]"
好啦鱿,Inkay,マーイーカ,"['恶', '超能']","['水中1', '水中2']","['唱反调', '吸盘']",穿透,"[53, 54, 53, 37, 46, 45]"
乌贼王,Malamar,カラマネロ,"['恶', '超能']","['水中1', '水中2']","['唱反调', '吸盘']",穿透,"[86, 92, 88, 68, 75, 73]"
龟脚脚,Binacle,カメテテ,"['岩石', '水']",水中3,"['硬爪', '狙击手']",顺手牵羊,"[42, 52, 67, 39, 56, 50]"
龟足巨铠,Barbaracle,ガメノデス,"['岩石', '水']",水中3,"['硬爪', '狙击手']",顺手牵羊,"[72, 105, 115, 54, 86, 68]"
垃垃藻,Skrelp,クズモー,"['毒', '水']","['水中1', '飞龙']","['毒刺', '毒手']",适应力,"[50, 60, 60, 60, 60, 30]"
毒藻龙,Dragalge,ドラミドロ,"['毒', '龙']","['水中1', '飞龙']","['毒刺', '毒手']",适应力,"[65, 75, 90, 97, 123, 44]"
铁臂枪虾,Clauncher,ウデッポウ,['水'],"['水中1', '水中3']",超级发射器,-,"[50, 53, 62, 58, 63, 44]"
钢炮臂虾,Clawitzer,ブロスター,['水'],"['水中1', '水中3']",超级发射器,-,"[71, 73, 88, 120, 89, 59]"
伞电蜥,Helioptile,エリキテル,"['一般', '电']","['怪兽', '飞龙']","['干燥皮肤', '沙隐']",太阳之力,"[44, 38, 33, 61, 43, 70]"
光电伞蜥,Heliolisk,エレザード,"['一般', '电']","['怪兽', '飞龙']","['干燥皮肤', '沙隐']",太阳之力,"[62, 55, 52, 109, 94, 109]"
宝宝暴龙,Tyrunt,チゴラス,"['岩石', '龙']","['怪兽', '飞龙']",强壮之颚,结实,"[58, 89, 77, 45, 45, 48]"
怪颚龙,Tyrantrum,ガチゴラス,"['岩石', '龙']","['怪兽', '飞龙']",强壮之颚,坚硬脑袋,"[82, 121, 119, 69, 59, 71]"
冰雪龙,Amaura,アマルス,"['岩石', '冰']",怪兽,冰冻皮肤,降雪,"[77, 59, 50, 67, 63, 46]"
冰雪巨龙,Aurorus,アマルルガ,"['岩石', '冰']",怪兽,冰冻皮肤,降雪,"[123, 77, 72, 99, 92, 58]"
仙子伊布,Sylveon,ニンフィア,['妖精'],陆上,迷人之躯,妖精皮肤,"[95, 65, 65, 110, 130, 60]"
摔角鹰人,Hawlucha,ルチャブル,"['格斗', '飞行']","['飞行', '人形']","['柔软', '轻装']",破格,"[78, 92, 75, 74, 63, 118]"
咚咚鼠,Dedenne,デデンネ,"['电', '妖精']","['陆上', '妖精']","['颊囊', '捡拾']",正电,"[67, 58, 57, 81, 67, 101]"
小碎钻,Carbink,メレシー,"['岩石', '妖精']","['妖精', '矿物']",恒净之躯,结实,"[50, 50, 150, 50, 150, 50]"
黏黏宝,Goomy,ヌメラ,['龙'],飞龙,"['食草', '湿润之躯']",黏滑,"[45, 50, 35, 55, 75, 40]"
黏美儿,Sliggoo,ヌメイル,['龙'],飞龙,"['食草', '湿润之躯']",黏滑,"[68, 75, 53, 83, 113, 60]"
黏美龙,Goodra,ヌメルゴン,['龙'],飞龙,"['食草', '湿润之躯']",黏滑,"[90, 100, 70, 110, 150, 80]"
钥圈儿,Klefki,クレッフィ,"['钢', '妖精']",矿物,恶作剧之心,魔术师,"[57, 80, 91, 80, 87, 75]"
小木灵,Phantump,ボクレー,"['幽灵', '草']","['植物', '不定形']","['自然回复', '察觉']",收获,"[43, 70, 48, 50, 60, 38]"
朽木妖,Trevenant,オーロット,"['幽灵', '草']","['植物', '不定形']","['自然回复', '察觉']",收获,"[85, 110, 76, 65, 82, 56]"
南瓜精,Pumpkaboo,バケッチャ,"['幽灵', '草']",不定形,"['捡拾', '察觉']",不眠,"[49, 66, 70, 44, 55, 51]"
南瓜怪人,Gourgeist,パンプジン,"['幽灵', '草']",不定形,"['捡拾', '察觉']",不眠,"[65, 90, 122, 58, 75, 84]"
冰宝,Bergmite,カチコール,['冰'],"['怪兽', '矿物']","['我行我素', '冰冻之躯']",结实,"[55, 69, 85, 32, 35, 28]"
冰岩怪,Avalugg,クレベース,['冰'],"['怪兽', '矿物']","['我行我素', '冰冻之躯']",结实,"[95, 117, 184, 44, 46, 28]"
嗡蝠,Noibat,オンバット,"['飞行', '龙']","['飞行', '飞龙']","['察觉', '穿透']",心灵感应,"[40, 30, 35, 45, 40, 55]"
音波龙,Noivern,オンバーン,"['飞行', '龙']","['飞行', '飞龙']","['察觉', '穿透']",心灵感应,"[85, 70, 80, 97, 80, 123]"
哲尔尼亚斯,Xerneas,ゼルネアス,['妖精'],未发现,妖精气场,-,"[126, 131, 95, 131, 98, 99]"
伊裴尔塔尔,Yveltal,イベルタル,"['恶', '飞行']",未发现,暗黑气场,-,"[126, 131, 95, 131, 98, 99]"
基格尔德,Zygarde,ジガルデ,"['龙', '地面']",未发现,"['气场破坏', '群聚变形']",-,"[108, 100, 121, 81, 95, 95]"
蒂安希,Diancie,ディアンシー,"['岩石', '妖精']",未发现,恒净之躯,-,"[50, 100, 150, 100, 150, 50]"
胡帕,Hoopa,フーパ,"['超能', '幽灵']",未发现,魔术师,-,"[80, 110, 60, 150, 130, 70]"
波尔凯尼恩,Volcanion,ボルケニオン,"['火', '水']",未发现,储水,-,"[80, 110, 120, 130, 90, 70]"
