中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
虫电宝,Charjabug,デンヂムシ,"['虫', '电']",昆虫,蓄电池,-,"[57, 82, 95, 55, 75, 36]"
锹农炮虫,Vikavolt,クワガノン,"['虫', '电']",昆虫,飘浮,-,"[77, 70, 90, 145, 75, 43]"
盆才怪,Bonsly,ウソハチ,['岩石'],未发现,"['结实', '坚硬脑袋']",胆怯,"[50, 80, 95, 10, 45, 10]"
树才怪,Sudowoodo,ウソッキー,['岩石'],矿物,"['结实', '坚硬脑袋']",胆怯,"[70, 100, 115, 30, 65, 30]"
小福蛋,Happiny,ピンプク,['一般'],未发现,"['自然回复', '天恩']",友情防守,"[100, 5, 5, 15, 65, 30]"
吉利蛋,Chansey,ラッキー,['一般'],妖精,"['自然回复', '天恩']",治愈之心,"[250, 5, 5, 35, 105, 50]"
幸福蛋,Blissey,ハピナス,['一般'],妖精,"['自然回复', '天恩']",治愈之心,"[255, 10, 10, 75, 135, 55]"
小卡比兽,Munchlax,ゴンベ,['一般'],未发现,"['捡拾', '厚脂肪']",贪吃鬼,"[135, 85, 40, 40, 85, 5]"
卡比兽,Snorlax,カビゴン,['一般'],怪兽,"['免疫', '厚脂肪']",贪吃鬼,"[160, 110, 65, 65, 110, 30]"
呆呆兽,Slowpoke,ヤドン,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[90, 65, 65, 40, 40, 15]"
呆壳兽,Slowbro,ヤドラン,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[95, 75, 110, 100, 80, 30]"
呆呆王,Slowking,ヤドキング,"['水', '超能']","['怪兽', '水中1']","['迟钝', '我行我素']",再生力,"[95, 75, 80, 100, 110, 30]"
长翅鸥,Wingull,キャモメ,"['水', '飞行']","['水中1', '飞行']","['锐利目光', '湿润之躯']",雨盘,"[40, 30, 30, 55, 30, 85]"
大嘴鸥,Pelipper,ペリッパー,"['水', '飞行']","['水中1', '飞行']","['锐利目光', '降雨']",雨盘,"[60, 50, 100, 95, 70, 65]"
凯西,Abra,ケーシィ,['超能'],人形,"['同步', '精神力']",魔法防守,"[25, 20, 15, 105, 55, 90]"
勇基拉,Kadabra,ユンゲラー,['超能'],人形,"['同步', '精神力']",魔法防守,"[40, 35, 30, 120, 70, 105]"
胡地,Alakazam,フーディン,['超能'],人形,"['同步', '精神力']",魔法防守,"[55, 50, 45, 135, 95, 120]"
喵喵,Meowth Alola Form,,['恶'],陆上,"['捡拾', '技术高手']",胆怯,"[40, 35, 35, 50, 40, 90]"
猫老大,Persian Alola Form,,['恶'],陆上,"['毛皮大衣', '技术高手']",胆怯,"[65, 60, 60, 75, 65, 115]"
小磁怪,Magnemite,コイル,"['电', '钢']",矿物,"['磁力', '结实']",分析,"[25, 35, 70, 95, 55, 45]"
三合一磁怪,Magneton,レアコイル,"['电', '钢']",矿物,"['磁力', '结实']",分析,"[50, 60, 95, 120, 70, 70]"
自爆磁怪,Magnezone,ジバコイル,"['电', '钢']",矿物,"['磁力', '结实']",分析,"[70, 70, 115, 130, 90, 60]"
臭泥,Grimer Alola Form,,"['毒', '恶']",不定形,"['毒手', '贪吃鬼']",化学之力,"[80, 80, 50, 40, 50, 25]"
臭臭泥,Muk Alola Form,,"['毒', '恶']",不定形,"['毒手', '贪吃鬼']",化学之力,"[105, 105, 75, 65, 100, 50]"
魔尼尼,Mime Jr.,マネネ,"['超能', '妖精']",未发现,"['隔音', '过滤']",技术高手,"[20, 25, 45, 70, 90, 60]"
魔墙人偶,Mr. Mime,バリヤード,"['超能', '妖精']",人形,"['隔音', '过滤']",技术高手,"[40, 45, 65, 100, 120, 90]"
阿柏蛇,Ekans,アーボ,['毒'],"['陆上', '飞龙']","['威吓', '蜕皮']",紧张感,"[35, 60, 44, 40, 54, 55]"
阿柏怪,Arbok,アーボック,['毒'],"['陆上', '飞龙']","['威吓', '蜕皮']",紧张感,"[60, 95, 69, 65, 79, 80]"
土龙弟弟,Dunsparce,ノコッチ,['一般'],陆上,"['天恩', '逃跑']",胆怯,"[100, 70, 70, 65, 65, 45]"
卡蒂狗,Growlithe,ガーディ,['火'],陆上,"['威吓', '引火']",正义之心,"[55, 70, 45, 70, 50, 60]"
风速狗,Arcanine,ウインディ,['火'],陆上,"['威吓', '引火']",正义之心,"[90, 110, 80, 100, 80, 95]"
催眠貘,Drowzee,スリープ,['超能'],人形,"['不眠', '预知梦']",精神力,"[60, 48, 45, 43, 90, 42]"
引梦貘人,Hypno,スリーパー,['超能'],人形,"['不眠', '预知梦']",精神力,"[85, 73, 70, 73, 115, 67]"
幕下力士,Makuhita,マクノシタ,['格斗'],人形,"['厚脂肪', '毅力']",强行,"[72, 60, 30, 20, 30, 25]"
铁掌力士,Hariyama,ハリテヤマ,['格斗'],人形,"['厚脂肪', '毅力']",强行,"[144, 120, 60, 40, 60, 50]"
图图犬,Smeargle,ドーブル,['一般'],陆上,"['我行我素', '技术高手']",心情不定,"[55, 20, 35, 20, 45, 75]"
好胜蟹,Crabrawler,マケンカニ,['格斗'],水中3,"['怪力钳', '铁拳']",愤怒穴位,"[47, 82, 57, 42, 47, 63]"
好胜毛蟹,Crabominable,ケケンカニ,"['格斗', '冰']",水中3,"['怪力钳', '铁拳']",愤怒穴位,"[97, 132, 77, 62, 67, 43]"
鬼斯,Gastly,ゴース,"['幽灵', '毒']",不定形,飘浮,-,"[30, 35, 30, 100, 35, 80]"
鬼斯通,Haunter,ゴースト,"['幽灵', '毒']",不定形,飘浮,-,"[45, 50, 45, 115, 55, 95]"
耿鬼,Gengar,ゲンガー,"['幽灵', '毒']",不定形,诅咒之躯,-,"[60, 65, 60, 130, 75, 110]"
飘飘球,Drifloon,フワンテ,"['幽灵', '飞行']",不定形,"['引爆', '轻装']",受热激升,"[90, 50, 34, 60, 44, 70]"
随风球,Drifblim,フワライド,"['幽灵', '飞行']",不定形,"['引爆', '轻装']",受热激升,"[150, 80, 44, 90, 54, 80]"
黑暗鸦,Murkrow,ヤミカラス,"['恶', '飞行']",飞行,"['不眠', '超幸运']",恶作剧之心,"[60, 85, 42, 85, 42, 91]"
乌鸦头头,Honchkrow,ドンカラス,"['恶', '飞行']",飞行,"['不眠', '超幸运']",自信过度,"[100, 125, 52, 105, 52, 71]"
超音蝠,Zubat,ズバット,"['毒', '飞行']",飞行,精神力,穿透,"[40, 45, 35, 30, 40, 55]"
大嘴蝠,Golbat,ゴルバット,"['毒', '飞行']",飞行,精神力,穿透,"[75, 80, 70, 65, 75, 90]"
叉字蝠,Crobat,クロバット,"['毒', '飞行']",飞行,精神力,穿透,"[85, 90, 80, 70, 80, 130]"
嗡蝠,Noibat,オンバット,"['飞行', '龙']","['飞行', '飞龙']","['察觉', '穿透']",心灵感应,"[40, 30, 35, 45, 40, 55]"
音波龙,Noivern,オンバーン,"['飞行', '龙']","['飞行', '飞龙']","['察觉', '穿透']",心灵感应,"[85, 70, 80, 97, 80, 123]"
地鼠,Diglett Alola Form,,"['地面', '钢']",陆上,"['沙隐', '卷发']",沙之力,"[10, 55, 30, 35, 45, 90]"
三地鼠,Dugtrio Alola Form,,"['地面', '钢']",陆上,"['沙隐', '卷发']",沙之力,"[35, 100, 60, 50, 70, 110]"
烈雀,Spearow,オニスズメ,"['一般', '飞行']",飞行,锐利目光,狙击手,"[40, 60, 30, 31, 31, 70]"
大嘴雀,Fearow,オニドリル,"['一般', '飞行']",飞行,锐利目光,狙击手,"[65, 90, 65, 61, 61, 100]"
毛头小鹰,Rufflet,ワシボン,"['一般', '飞行']",飞行,"['锐利目光', '强行']",活力,"[70, 83, 50, 37, 50, 60]"
勇士雄鹰,Braviary,ウォーグル,"['一般', '飞行']",飞行,"['锐利目光', '强行']",不服输,"[100, 123, 75, 57, 75, 80]"
秃鹰丫头,Vullaby,バルチャイ,"['恶', '飞行']",飞行,"['健壮胸肌', '防尘']",碎裂铠甲,"[70, 55, 75, 45, 65, 60]"
秃鹰娜,Mandibuzz,バルジーナ,"['恶', '飞行']",飞行,"['健壮胸肌', '防尘']",碎裂铠甲,"[110, 65, 105, 55, 95, 80]"
猴怪,Mankey,マンキー,['格斗'],陆上,"['干劲', '愤怒穴位']",不服输,"[40, 80, 35, 35, 45, 70]"
火暴猴,Primeape,オコリザル,['格斗'],陆上,"['干劲', '愤怒穴位']",不服输,"[65, 105, 60, 60, 70, 95]"
信使鸟,Delibird,デリバード,"['冰', '飞行']","['水中1', '陆上']","['干劲', '活力']",不眠,"[45, 55, 45, 65, 45, 75]"
摔角鹰人,Hawlucha,ルチャブル,"['格斗', '飞行']","['飞行', '人形']","['柔软', '轻装']",破格,"[78, 92, 75, 74, 63, 118]"
花舞鸟,Oricorio,オドリドリ,"['火', '飞行']",飞行,舞者,-,"[75, 70, 70, 98, 70, 93]"
萌虻,Cutiefly,アブリー,"['虫', '妖精']","['昆虫', '妖精']","['采蜜', '鳞粉']",甜幕,"[40, 45, 40, 55, 40, 84]"
蝶结萌虻,Ribombee,アブリボン,"['虫', '妖精']","['昆虫', '妖精']","['采蜜', '鳞粉']",甜幕,"[60, 55, 60, 95, 70, 124]"
花蓓蓓,Flabébé,フラベベ,['妖精'],妖精,花幕,共生,"[44, 38, 39, 61, 79, 42]"
花叶蒂,Floette,フラエッテ,['妖精'],妖精,花幕,共生,"[54, 45, 47, 75, 98, 52]"
花洁夫人,Florges,フラージェス,['妖精'],妖精,花幕,共生,"[78, 65, 68, 112, 154, 75]"
百合根娃娃,Petilil,チュリネ,['草'],植物,"['叶绿素', '我行我素']",叶子防守,"[45, 35, 50, 70, 50, 30]"
裙儿小姐,Lilligant,ドレディア,['草'],植物,"['叶绿素', '我行我素']",叶子防守,"[70, 60, 75, 110, 75, 90]"
木棉球,Cottonee,モンメン,"['草', '妖精']","['植物', '妖精']","['恶作剧之心', '穿透']",叶绿素,"[40, 27, 60, 37, 50, 66]"
风妖精,Whimsicott,エルフーン,"['草', '妖精']","['植物', '妖精']","['恶作剧之心', '穿透']",叶绿素,"[60, 67, 85, 77, 75, 116]"
可达鸭,Psyduck,コダック,['水'],"['水中1', '陆上']","['湿气', '无关天气']",悠游自如,"[50, 52, 48, 65, 50, 55]"
哥达鸭,Golduck,ゴルダック,['水'],"['水中1', '陆上']","['湿气', '无关天气']",悠游自如,"[80, 82, 78, 95, 80, 85]"
迷唇娃,Smoochum,ムチュール,"['冰', '超能']",未发现,"['迟钝', '预知梦']",湿润之躯,"[45, 30, 15, 85, 65, 65]"
迷唇姐,Jynx,ルージュラ,"['冰', '超能']",人形,"['迟钝', '预知梦']",干燥皮肤,"[65, 50, 35, 115, 95, 95]"
鲤鱼王,Magikarp,コイキング,['水'],"['水中2', '飞龙']",悠游自如,胆怯,"[20, 10, 55, 15, 20, 80]"
暴鲤龙,Gyarados,ギャラドス,"['水', '飞行']","['水中2', '飞龙']",威吓,自信过度,"[95, 125, 79, 60, 100, 81]"
泥泥鳅,Barboach,ドジョッチ,"['水', '地面']",水中2,"['迟钝', '危险预知']",湿润之躯,"[50, 48, 43, 46, 41, 60]"
鲶鱼王,Whiscash,ナマズン,"['水', '地面']",水中2,"['迟钝', '危险预知']",湿润之躯,"[110, 78, 73, 76, 71, 60]"
小海狮,Seel,パウワウ,['水'],"['水中1', '陆上']","['厚脂肪', '湿润之躯']",冰冻之躯,"[65, 45, 55, 45, 70, 45]"
白海狮,Dewgong,ジュゴン,"['水', '冰']","['水中1', '陆上']","['厚脂肪', '湿润之躯']",冰冻之躯,"[90, 70, 80, 70, 95, 70]"
腕力,Machop,ワンリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[70, 80, 50, 35, 35, 35]"
豪力,Machoke,ゴーリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[80, 100, 70, 50, 60, 45]"
怪力,Machamp,カイリキー,['格斗'],人形,"['毅力', '无防守']",不屈之心,"[90, 130, 80, 65, 85, 55]"
石丸子,Roggenrola,ダンゴロ,['岩石'],矿物,"['结实', '碎裂铠甲']",沙之力,"[55, 75, 85, 25, 25, 15]"
地幔岩,Boldore,ガントル,['岩石'],矿物,"['结实', '碎裂铠甲']",沙之力,"[70, 105, 105, 50, 40, 20]"
庞岩怪,Gigalith,ギガイアス,['岩石'],矿物,"['结实', '扬沙']",沙之力,"[85, 135, 130, 60, 80, 25]"
小碎钻,Carbink,メレシー,"['岩石', '妖精']","['妖精', '矿物']",恒净之躯,结实,"[50, 50, 150, 50, 150, 50]"
勾魂眼,Sableye,ヤミラミ,"['恶', '幽灵']",人形,"['锐利目光', '慢出']",恶作剧之心,"[50, 75, 75, 65, 65, 50]"
大嘴娃,Mawile,クチート,"['钢', '妖精']","['陆上', '妖精']","['怪力钳', '威吓']",强行,"[50, 85, 85, 55, 55, 50]"
岩狗狗,Rockruff,イワンコ,['岩石'],陆上,"['锐利目光', '干劲']",不屈之心,"[45, 65, 40, 30, 40, 60]"
鬃岩狼人,Lycanroc,ルガルガン,['岩石'],陆上,"['锐利目光', '拨沙']",不屈之心,"[75, 115, 65, 55, 65, 112]"
晃晃斑,Spinda,パッチール,['一般'],"['陆上', '人形']","['我行我素', '蹒跚']",唱反调,"[60, 60, 60, 60, 60, 60]"
玛瑙水母,Tentacool,メノクラゲ,"['水', '毒']",水中3,"['恒净之躯', '污泥浆']",雨盘,"[40, 40, 35, 50, 100, 70]"
毒刺水母,Tentacruel,ドククラゲ,"['水', '毒']",水中3,"['恒净之躯', '污泥浆']",雨盘,"[80, 70, 65, 80, 120, 100]"
荧光鱼,Finneon,ケイコウオ,['水'],水中2,"['悠游自如', '引水']",水幕,"[49, 49, 56, 49, 61, 66]"
霓虹鱼,Lumineon,ネオラント,['水'],水中2,"['悠游自如', '引水']",水幕,"[69, 69, 76, 69, 86, 91]"
弱丁鱼,Wishiwashi,ヨワシ,['水'],水中2,鱼群,-,"[45, 20, 20, 25, 25, 40]"
爱心鱼,Luvdisc,ラブカス,['水'],水中2,悠游自如,湿润之躯,"[43, 30, 55, 40, 65, 97]"
太阳珊瑚,Corsola,サニーゴ,"['水', '岩石']","['水中1', '水中3']","['活力', '自然回复']",再生力,"[65, 55, 95, 65, 95, 35]"
好坏星,Mareanie,ヒドイデ,"['毒', '水']",水中1,"['不仁不义', '柔软']",再生力,"[50, 53, 62, 43, 52, 45]"
超坏星,Toxapex,ドヒドイデ,"['毒', '水']",水中1,"['不仁不义', '柔软']",再生力,"[50, 63, 152, 53, 142, 35]"
大舌贝,Shellder,シェルダー,['水'],水中3,"['硬壳盔甲', '连续攻击']",防尘,"[30, 65, 100, 45, 25, 40]"
刺甲贝,Cloyster,パルシェン,"['水', '冰']",水中3,"['硬壳盔甲', '连续攻击']",防尘,"[50, 95, 180, 85, 45, 70]"
珍珠贝,Clamperl,パールル,['水'],水中1,硬壳盔甲,胆怯,"[35, 64, 85, 74, 55, 32]"
猎斑鱼,Huntail,ハンテール,['水'],水中1,悠游自如,水幕,"[55, 104, 105, 94, 75, 52]"
樱花鱼,Gorebyss,サクラビス,['水'],水中1,悠游自如,湿润之躯,"[55, 84, 105, 114, 75, 52]"
铁炮鱼,Remoraid,テッポウオ,['水'],"['水中1', '水中2']","['活力', '狙击手']",心情不定,"[35, 65, 35, 65, 35, 65]"
章鱼桶,Octillery,オクタン,['水'],"['水中1', '水中2']","['吸盘', '狙击手']",心情不定,"[75, 105, 75, 105, 75, 45]"
小球飞鱼,Mantyke,タマンタ,"['水', '飞行']",未发现,"['悠游自如', '储水']",水幕,"[45, 20, 50, 60, 120, 50]"
巨翅飞鱼,Mantine,マンタイン,"['水', '飞行']",水中1,"['悠游自如', '储水']",水幕,"[85, 40, 70, 80, 140, 70]"
宝贝龙,Bagon,タツベイ,['龙'],飞龙,坚硬脑袋,强行,"[45, 75, 60, 40, 30, 50]"
甲壳龙,Shelgon,コモルー,['龙'],飞龙,坚硬脑袋,防尘,"[65, 95, 100, 60, 50, 50]"
暴飞龙,Salamence,ボーマンダ,"['龙', '飞行']",飞龙,威吓,自信过度,"[95, 135, 80, 110, 80, 100]"
小约克,Lillipup,ヨーテリー,['一般'],陆上,"['干劲', '捡拾']",逃跑,"[45, 60, 45, 25, 45, 55]"
哈约克,Herdier,ハーデリア,['一般'],陆上,"['威吓', '拨沙']",胆量,"[65, 80, 65, 35, 65, 60]"
长毛狗,Stoutland,ムーランド,['一般'],陆上,"['威吓', '拨沙']",胆量,"[85, 110, 90, 45, 90, 80]"
伊布,Eevee,イーブイ,['一般'],陆上,"['逃跑', '适应力']",危险预知,"[55, 55, 50, 45, 65, 55]"
水伊布,Vaporeon,シャワーズ,['水'],陆上,储水,湿润之躯,"[130, 65, 60, 110, 95, 65]"
雷伊布,Jolteon,サンダース,['电'],陆上,蓄电,飞毛腿,"[65, 65, 60, 110, 95, 130]"
火伊布,Flareon,ブースター,['火'],陆上,引火,毅力,"[65, 130, 60, 95, 110, 65]"
太阳伊布,Espeon,エーフィ,['超能'],陆上,同步,魔法镜,"[65, 65, 60, 130, 95, 110]"
月亮伊布,Umbreon,ブラッキー,['恶'],陆上,同步,精神力,"[95, 65, 110, 60, 130, 65]"
叶伊布,Leafeon,リーフィア,['草'],陆上,叶子防守,叶绿素,"[65, 110, 130, 60, 65, 95]"
冰伊布,Glaceon,グレイシア,['冰'],陆上,雪隐,冰冻之躯,"[65, 60, 110, 130, 95, 65]"
仙子伊布,Sylveon,ニンフィア,['妖精'],陆上,迷人之躯,妖精皮肤,"[95, 65, 65, 110, 130, 60]"
咩利羊,Mareep,メリープ,['电'],"['怪兽', '陆上']",静电,正电,"[55, 40, 40, 65, 45, 35]"
茸茸羊,Flaaffy,モココ,['电'],"['怪兽', '陆上']",静电,正电,"[70, 55, 55, 80, 60, 45]"
电龙,Ampharos,デンリュウ,['电'],"['怪兽', '陆上']",静电,正电,"[90, 75, 85, 115, 90, 55]"
泥驴仔,Mudbray,ドロバンコ,['地面'],陆上,"['我行我素', '持久力']",精神力,"[70, 100, 70, 45, 55, 45]"
重泥挽马,Mudsdale,バンバドロ,['地面'],陆上,"['我行我素', '持久力']",精神力,"[100, 125, 100, 55, 85, 35]"
宝宝丁,Igglybuff,ププリン,"['一般', '妖精']",未发现,"['迷人之躯', '好胜']",友情防守,"[90, 30, 15, 40, 20, 15]"
胖丁,Jigglypuff,プリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",友情防守,"[115, 45, 20, 45, 25, 20]"
胖可丁,Wigglytuff,プクリン,"['一般', '妖精']",妖精,"['迷人之躯', '好胜']",察觉,"[140, 70, 45, 85, 50, 45]"
肯泰罗,Tauros,ケンタロス,['一般'],陆上,"['威吓', '愤怒穴位']",强行,"[75, 100, 95, 40, 70, 110]"
大奶罐,Miltank,ミルタンク,['一般'],陆上,"['厚脂肪', '胆量']",食草,"[95, 80, 105, 40, 70, 100]"
溜溜糖球,Surskit,アメタマ,"['虫', '水']","['水中1', '昆虫']",悠游自如,雨盘,"[40, 30, 32, 50, 52, 65]"
雨翅蛾,Masquerain,アメモース,"['虫', '飞行']","['水中1', '昆虫']",威吓,紧张感,"[70, 60, 62, 100, 82, 80]"
滴蛛,Dewpider,シズクモ,"['水', '虫']","['水中1', '昆虫']",水泡,储水,"[38, 40, 52, 40, 72, 27]"
滴蛛霸,Araquanid,オニシズクモ,"['水', '虫']","['水中1', '昆虫']",水泡,储水,"[68, 70, 92, 50, 132, 42]"
伪螳草,Fomantis,カリキリ,['草'],植物,叶子防守,唱反调,"[40, 55, 35, 50, 35, 35]"
兰螳花,Lurantis,ラランテス,['草'],植物,叶子防守,唱反调,"[70, 105, 90, 80, 90, 45]"
睡睡菇,Morelull,ネマシュ,"['草', '妖精']",植物,"['发光', '孢子']",雨盘,"[40, 35, 55, 65, 75, 15]"
灯罩夜菇,Shiinotic,マシェード,"['草', '妖精']",植物,"['发光', '孢子']",雨盘,"[60, 45, 80, 90, 100, 30]"
派拉斯,Paras,パラス,"['虫', '草']","['昆虫', '植物']","['孢子', '干燥皮肤']",湿气,"[35, 70, 55, 45, 55, 25]"
派拉斯特,Parasect,パラセクト,"['虫', '草']","['昆虫', '植物']","['孢子', '干燥皮肤']",湿气,"[60, 95, 80, 60, 80, 30]"
蚊香蝌蚪,Poliwag,ニョロモ,['水'],水中1,"['储水', '湿气']",悠游自如,"[40, 50, 40, 40, 40, 90]"
蚊香君,Poliwhirl,ニョロゾ,['水'],水中1,"['储水', '湿气']",悠游自如,"[65, 65, 65, 50, 50, 90]"
蚊香泳士,Poliwrath,ニョロボン,"['水', '格斗']",水中1,"['储水', '湿气']",悠游自如,"[90, 95, 95, 70, 90, 70]"
蚊香蛙皇,Politoed,ニョロトノ,['水'],水中1,"['储水', '湿气']",降雨,"[90, 75, 75, 90, 100, 70]"
角金鱼,Goldeen,トサキント,['水'],水中2,"['悠游自如', '水幕']",避雷针,"[45, 67, 60, 35, 50, 63]"
金鱼王,Seaking,アズマオウ,['水'],水中2,"['悠游自如', '水幕']",避雷针,"[80, 92, 65, 65, 80, 68]"
野蛮鲈鱼,Basculin,バスラオ,['水'],水中2,"['舍身', '适应力']",破格,"[70, 92, 65, 80, 55, 98]"
丑丑鱼,Feebas,ヒンバス,['水'],"['水中1', '飞龙']","['悠游自如', '迟钝']",适应力,"[20, 15, 20, 10, 55, 80]"
美纳斯,Milotic,ミロカロス,['水'],"['水中1', '飞龙']","['神奇鳞片', '好胜']",迷人之躯,"[95, 60, 79, 100, 125, 81]"
保姆曼波,Alomomola,ママンボウ,['水'],"['水中1', '水中2']","['治愈之心', '湿润之躯']",再生力,"[165, 75, 80, 40, 45, 65]"
小箭雀,Fletchling,ヤヤコマ,"['一般', '飞行']",飞行,健壮胸肌,疾风之翼,"[45, 50, 43, 40, 38, 62]"
火箭雀,Fletchinder,ヒノヤコマ,"['火', '飞行']",飞行,火焰之躯,疾风之翼,"[62, 73, 55, 56, 52, 84]"
烈箭鹰,Talonflame,ファイアロー,"['火', '飞行']",飞行,火焰之躯,疾风之翼,"[78, 81, 71, 74, 69, 126]"
夜盗火蜥,Salandit,ヤトウモリ,"['毒', '火']","['怪兽', '飞龙']",腐蚀,迟钝,"[48, 44, 40, 71, 40, 77]"
焰后蜥,Salazzle,エンニュート,"['毒', '火']","['怪兽', '飞龙']",腐蚀,迟钝,"[68, 64, 60, 111, 60, 117]"
卡拉卡拉,Cubone,カラカラ,['地面'],怪兽,"['坚硬脑袋', '避雷针']",战斗盔甲,"[50, 50, 95, 40, 50, 35]"
嘎啦嘎啦,Marowak Alola Form,,"['火', '幽灵']",怪兽,"['诅咒之躯', '避雷针']",坚硬脑袋,"[60, 80, 110, 50, 80, 45]"
袋兽,Kangaskhan,ガルーラ,['一般'],怪兽,"['早起', '胆量']",精神力,"[105, 95, 80, 40, 80, 90]"
鸭嘴宝宝,Magby,ブビィ,['火'],未发现,火焰之躯,干劲,"[45, 75, 37, 70, 55, 83]"
鸭嘴火兽,Magmar,ブーバー,['火'],人形,火焰之躯,干劲,"[65, 95, 57, 100, 85, 93]"
鸭嘴炎兽,Magmortar,ブーバーン,['火'],人形,火焰之躯,干劲,"[75, 95, 67, 125, 95, 83]"
